Economico,"Nombre Sucursal","Fecha Ingreso","Fecha Promesa","Fecha Entrega",Motivo,"Costo por Reparacion","Dias en Detencion",nombreEstatus,Comentarios,Mad,Operacion,nombreTaller
4326,"Mexico Dedicado",2020-03-02,2020-03-03,,"Mantenimiento Correctivo",12000,2,"En proceso de reparación","INGRESA A PREVENTIVO Y CORRECTIVOS, EN DONDE HAY QUE REPARAR LA MAMPARA,RIELES DE CARRETILLA,CAMBIO DE SECCIÓN DE PISO, CORRECCIÓN DE FUGAS DE AIRE.
LO ESTOY SUSTITUYENDO CON EL REM-4151",ARRASTRE,Modelo,"Grupo SIS Diesel Refacciones y Tran"
TZ-326,"Mexico Especializado",2020-03-03,2020-03-04,0000-00-00,"Mantenimiento Correctivo",1954,1,"En proceso de reparación","Calibración motor",MOTRIZ,Modelo,"Kenworth Metropolitanos SA. DE CV."
TZ-189,Zacatecas,2020-03-02,2020-03-04,,"Mantenimiento Correctivo",6560,2,"En proceso de reparación","Cambio de embrague , revisar fuga en transmicion y diferencial",MOTRIZ,Modelo,"Sermucal, S. de R.L de C.V"
TZ-298,Zacatecas,2020-03-04,2020-03-04,,"Mantenimiento Preventivo",5600,0,"En proceso de reparación","Preventivo a motor",MOTRIZ,Modelo,"Euro Centro Camionero, S.A. de C.V."
TZ-199,Tuxtepec,2020-03-04,2020-03-04,0000-00-00,"Mantenimiento Preventivo",16000,0,"En proceso de reparación","Mantto preventivo M1, calibración de motor, corregir fuga de aceite en junta de campana",MOTRIZ,Modelo,"Gomsa Camiones Tuxtepec S.A de C.V."
4338,Torreon,2020-03-04,2020-03-04,,"Mantenimiento Preventivo",2000,0,"En proceso de reparación","MANTENIMIENTO PREVENTIVO",ARRASTRE,Modelo,"Jose Garcia Guerrero"
DH-120,Torreon,2020-03-04,2020-03-04,,"Mantenimiento Preventivo",2000,0,"En proceso de reparación","MANTENIMIENTO PREVENTIVO",DOLLY,Modelo,"Jose Garcia Guerrero"
TZ-234,"Guadalajara Especializado",2020-03-04,2020-03-04,,"Mantenimiento Correctivo",2500,0,"En proceso de reparación","DAÑO EN RADIADOR, EN PROCESO DE REPARACION",MOTRIZ,Modelo,"Efraí Ramos Capistro"
TZ-348,Zacatecas,2020-03-04,2020-03-04,,Rescate,5000,0,"En proceso de reparación","Fuga de refrigerante por la manguera de la calefacción",MOTRIZ,Modelo,"Kenworth del Centro S.A de C.V"
TZ-420,"Mexico Dedicado",2020-03-04,2020-03-05,0000-00-00,"Mantenimiento Preventivo",14000,0,"En proceso de reparación","Servicio preventivo, cambio de valvula de suspension",MOTRIZ,Modelo,"Zapata Camiones (Tlalnepantla)"
TZ-136,"Guadalajara Especializado",2020-02-28,2020-03-09,0000-00-00,"Mantenimiento Correctivo",8500,5,"En proceso de diagnostico","DAÑO EN MICRO SWITCH DE PEDAL DE EMBRAGUE, EN PRUEBA CON OTRO MICRO SIGUE FALLANDO",MOTRIZ,Modelo,"Zapata Camiones  Suc. R Michel"
TZ-333,"Guadalajara Especializado",2020-03-02,2020-03-09,0000-00-00,"Mantenimiento Correctivo",8500,2,"En proceso de diagnostico","BOMBA DE ACEITE CON BAJA PRESION. EN PROCESO DE PRUEBAS DE CAMPO, LA BAJA PRESION ES EN ALTA,  REALIZARAN PRUEBA CON UN BAROMETRO",MOTRIZ,Modelo,"Kenworth de Jalisco S.A de C.V"
4382,Torreon,2020-03-04,2020-03-05,,"Mantenimiento Preventivo",2000,0,Programado,"MANTENIMIENTO PREVENTIVO",ARRASTRE,Modelo,"Jose Garcia Guerrero"
TZ-333,"Guadalajara Especializado",2020-02-07,2020-02-15,2020-02-26,"Mantenimiento Correctivo",10000,19,Terminada,"unidad ingresa en servicio de grúa,  pendiente nos informen diagnostico.
Ruido en cabeza de motor, balancin cascado.  Terminada",MOTRIZ,Modelo,"Kenworth de Jalisco S.A de C.V"
TZ-135,"Guadalajara Especializado",2019-10-01,2020-03-04,2020-03-04,"Mantenimiento Correctivo",140000,155,Terminada,"Daño en marcadores del diesel, micro switch, embalatado general. Arnes para flotador, manguera de bomba de direccion sam cabina y bolsas de suspension. TERMINADA, EN ESPERA DE CALIBRACION DE MOTOR",MOTRIZ,Modelo,"Zapata Camiones  Suc. Mariano Otero"
